Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season,goal_gain_lose_gap,Total_shots,Valid_shots,Goal_ratio(%),Valid_shot_ratio(%),Shot_accuracy(%)
아스날,4,79,68,41,37.1,26.5,2013-2014,27,344,191,19.8,55.52325581395349,35.602094240837694
아스톤 빌라,15,38,39,61,11.74,24.4,2013-2014,-22,288,135,13.5,46.875,28.888888888888886
카디프,20,30,32,74,42.08,25.2,2013-2014,-42,238,111,13.4,46.63865546218487,28.82882882882883
첼시,3,82,71,27,52.42,27.3,2013-2014,44,452,224,15.7,49.557522123893804,31.69642857142857
크리스탈 팰리스,11,45,33,48,33.0,27.7,2013-2014,-15,258,126,12.8,48.837209302325576,26.190476190476193
에버튼,5,72,61,39,-14.3,27.2,2013-2014,22,357,184,17.1,51.540616246498594,33.15217391304348
풀럼,19,32,40,85,25.15,28.6,2013-2014,-45,241,120,16.6,49.79253112033195,33.33333333333333
헐시티,16,37,38,53,30.22,27.4,2013-2014,-15,235,122,16.2,51.91489361702127,31.147540983606557
리버풀,2,84,101,50,25.6,25.3,2013-2014,51,471,255,21.4,54.14012738853503,39.6078431372549
맨시티,1,86,102,37,104.2,27.5,2013-2014,65,458,226,22.3,49.34497816593886,45.13274336283185
맨유,7,64,64,43,75.33,26.5,2013-2014,21,341,175,18.8,51.31964809384164,36.57142857142857
뉴캐슬,10,49,43,59,-22.07,26.2,2013-2014,-16,373,176,11.5,47.18498659517426,24.431818181818183
노리치,18,33,28,62,25.22,26.2,2013-2014,-34,263,118,10.6,44.866920152091254,23.728813559322035
사우스햄튼,8,56,54,46,35.4,24.6,2013-2014,8,289,144,18.7,49.82698961937716,37.5
스토크시티,9,50,45,52,7.0,27.3,2013-2014,-7,205,102,22.0,49.75609756097561,44.11764705882353
선더랜드,14,38,41,60,11.53,26.2,2013-2014,-19,292,135,14.0,46.23287671232877,30.37037037037037
스완지,12,42,54,54,26.61,26.2,2013-2014,0,334,167,16.2,50.0,32.33532934131736
토트넘,6,69,55,51,-15.85,25.0,2013-2014,4,409,200,13.4,48.899755501222494,27.500000000000004
웨스트 브로미치,17,36,43,59,4.3,27.7,2013-2014,-16,229,101,18.8,44.10480349344978,42.57425742574257
웨스트햄,13,40,40,51,23.47,28.4,2013-2014,-11,225,83,17.8,36.888888888888886,48.19277108433735
아스날,3,75,71,36,91.18,25.9,2014-2015,35,397,219,17.9,55.16372795969773,32.42009132420091
아스톤 빌라,17,38,31,57,12.14,26.2,2014-2015,-26,293,128,10.6,43.68600682593857,24.21875
번리,19,33,28,53,12.62,27.0,2014-2015,-25,271,120,10.3,44.28044280442804,23.333333333333332
첼시,1,87,73,32,-5.11,27.0,2014-2015,41,378,214,19.3,56.613756613756614,34.112149532710276
크리스탈 팰리스,10,48,47,51,28.35,27.5,2014-2015,-4,260,127,18.1,48.84615384615385,37.00787401574803
에버튼,11,47,48,50,38.26,27.7,2014-2015,-2,309,169,15.5,54.69255663430421,28.402366863905325
헐시티,18,35,33,51,29.52,27.0,2014-2015,-18,256,119,12.9,46.484375,27.73109243697479
레스터시티,14,41,46,55,22.86,27.5,2014-2015,-9,303,132,15.2,43.56435643564357,34.84848484848485
리버풀,6,62,52,48,52.16,25.3,2014-2015,4,397,196,13.1,49.37027707808564,26.53061224489796
맨시티,2,79,83,38,72.5,28.7,2014-2015,45,449,224,18.5,49.88864142538976,37.05357142857143
맨유,4,70,62,37,148.65,25.7,2014-2015,25,323,174,19.2,53.86996904024768,35.63218390804598
뉴캐슬,15,39,40,63,21.15,25.6,2014-2015,-23,295,145,13.6,49.152542372881356,27.586206896551722
QPR,20,30,42,73,17.5,28.0,2014-2015,-31,303,134,13.9,44.224422442244226,31.343283582089555
사우스햄튼,7,60,54,33,-27.83,25.6,2014-2015,21,331,155,16.3,46.82779456193353,34.83870967741935
스토크시티,9,54,48,45,-2.0,27.5,2014-2015,3,311,144,15.4,46.30225080385852,33.33333333333333
선더랜드,16,38,31,53,15.27,27.5,2014-2015,-22,257,129,12.1,50.19455252918288,24.031007751937985
스완지,8,56,46,49,-20.37,26.4,2014-2015,-3,273,139,16.8,50.91575091575091,33.093525179856115
토트넘,5,64,58,53,4.33,24.5,2014-2015,5,336,173,17.3,51.488095238095234,33.52601156069364
웨스트 브로미치,13,44,38,51,22.58,27.9,2014-2015,-13,259,131,14.7,50.57915057915058,29.00763358778626
웨스트햄,12,47,44,47,30.75,27.1,2014-2015,-3,301,156,14.6,51.82724252491694,28.205128205128204
본머스,16,42,45,67,54.46,27.5,2015-2016,-22,301,142,15.0,47.176079734219265,31.690140845070424
아스날,2,71,65,36,24.0,26.6,2015-2016,29,406,232,16.0,57.14285714285714,28.01724137931034
아스톤 빌라,20,17,27,76,1.85,26.2,2015-2016,-49,268,123,10.1,45.8955223880597,21.951219512195124
첼시,10,50,59,53,9.01,26.4,2015-2016,6,374,192,15.8,51.33689839572193,30.729166666666668
크리스탈 팰리스,15,42,39,51,23.4,27.5,2015-2016,-12,329,168,11.9,51.06382978723404,23.214285714285715
에버튼,11,47,59,55,37.2,26.5,2015-2016,4,329,191,17.9,58.05471124620061,30.89005235602094
레스터시티,1,81,68,36,40.45,27.3,2015-2016,32,365,183,18.6,50.136986301369866,37.15846994535519
리버풀,8,60,63,50,35.95,24.9,2015-2016,13,430,228,14.7,53.02325581395348,27.631578947368425
맨시티,4,66,71,41,141.03,27.8,2015-2016,30,422,219,16.8,51.8957345971564,32.42009132420091
맨유,5,66,49,35,55.33,25.4,2015-2016,14,299,161,16.4,53.84615384615385,30.434782608695656
뉴캐슬,18,37,44,65,102.48,25.2,2015-2016,-21,292,160,15.1,54.794520547945204,27.500000000000004
노리치,19,34,39,67,29.01,27.7,2015-2016,-28,291,132,13.4,45.36082474226804,29.545454545454547
사우스햄튼,6,63,59,41,7.4,26.0,2015-2016,18,380,174,15.5,45.78947368421053,33.90804597701149
스토크시티,9,51,41,55,30.45,27.5,2015-2016,-14,309,137,13.3,44.336569579288025,29.927007299270077
선더랜드,17,39,48,62,55.05,27.2,2015-2016,-14,316,156,15.2,49.36708860759494,30.76923076923077
스완지,12,47,42,52,5.01,27.5,2015-2016,-10,273,137,15.4,50.18315018315018,30.656934306569344
토트넘,3,70,69,35,-16.25,24.2,2015-2016,34,456,260,15.1,57.01754385964912,26.53846153846154
왓포드,13,45,40,50,73.05,28.1,2015-2016,-10,298,148,13.4,49.664429530201346,27.027027027027028
웨스트 브로미치,14,43,34,48,29.98,28.6,2015-2016,-14,257,107,13.2,41.63424124513619,31.775700934579437
웨스트햄,7,62,65,51,34.19,26.4,2015-2016,14,390,193,16.7,49.48717948717949,33.67875647668394
본머스,9,46,55,67,17.0,26.4,2016-2017,-12,310,160,17.7,51.61290322580645,34.375
아스날,5,75,77,44,102.65,26.6,2016-2017,33,387,205,19.9,52.97157622739018,37.5609756097561
번리,16,40,39,55,44.4,27.4,2016-2017,-16,268,125,14.6,46.64179104477612,31.2
첼시,1,93,85,33,23.9,27.0,2016-2017,52,406,207,20.9,50.98522167487685,41.06280193236715
크리스탈 팰리스,14,41,50,63,51.0,27.8,2016-2017,-13,295,137,16.9,46.440677966101696,36.496350364963504
에버튼,7,61,62,44,25.2,27.2,2016-2017,18,336,188,18.5,55.952380952380956,32.97872340425532
헐시티,18,34,37,80,11.1,27.2,2016-2017,-43,282,123,13.1,43.61702127659575,30.081300813008134
레스터시티,12,44,48,63,26.05,27.3,2016-2017,-15,300,147,16.0,49.0,32.6530612244898
리버풀,4,76,78,42,-5.48,25.6,2016-2017,36,421,230,18.5,54.63182897862233,33.91304347826087
맨시티,3,78,80,39,180.9,28.1,2016-2017,41,452,222,17.7,49.11504424778761,36.03603603603604
맨유,6,69,54,29,137.75,26.4,2016-2017,25,414,209,13.0,50.48309178743962,25.837320574162682
미들스브러,19,28,27,53,34.45,27.1,2016-2017,-26,238,100,11.3,42.016806722689076,27.0
사우스햄튼,8,46,41,48,-16.15,25.8,2016-2017,-7,384,191,10.7,49.73958333333333,21.465968586387437
스토크시티,13,44,41,56,38.37,28.6,2016-2017,-15,290,137,14.1,47.241379310344826,29.927007299270077
선더랜드,20,24,29,69,18.13,26.5,2016-2017,-40,249,126,11.6,50.602409638554214,23.015873015873016
스완지,15,41,45,70,8.8,27.3,2016-2017,-25,297,145,15.2,48.821548821548824,31.03448275862069
토트넘,2,86,86,26,31.2,24.9,2016-2017,60,489,266,17.6,54.396728016359916,32.33082706766917
왓포드,17,40,40,68,12.35,28.4,2016-2017,-28,292,143,13.7,48.97260273972603,27.972027972027973
웨스트 브로미치,10,45,43,51,10.93,28.9,2016-2017,-8,281,131,15.3,46.619217081850536,32.82442748091603
웨스트햄,11,45,47,64,42.5,26.5,2016-2017,-17,312,136,15.1,43.58974358974359,34.55882352941176
본머스,12,44,45,61,34.3,26.7,2017-2018,-16,319,159,14.1,49.843260188087775,28.30188679245283
아스날,6,63,74,51,-9.15,26.5,2017-2018,23,423,236,17.5,55.7919621749409,31.35593220338983
브라이튼,15,40,34,54,66.1,27.4,2017-2018,-20,277,124,12.3,44.765342960288805,27.419354838709676
번리,7,54,36,39,-14.26,27.3,2017-2018,-3,266,125,13.5,46.99248120300752,28.799999999999997
첼시,5,70,62,38,65.9,26.6,2017-2018,24,422,223,14.7,52.843601895734594,27.802690582959645
크리스탈 팰리스,11,44,45,55,52.95,27.0,2017-2018,-10,329,149,13.7,45.2887537993921,30.201342281879196
에버튼,8,49,44,58,76.82,26.3,2017-2018,-14,264,122,16.7,46.21212121212121,36.0655737704918
허더스필드,16,37,28,58,50.3,26.2,2017-2018,-30,243,114,11.5,46.913580246913575,24.561403508771928
레스터시티,9,47,56,60,33.75,26.8,2017-2018,-4,294,152,19.0,51.70068027210885,36.84210526315789
리버풀,4,75,84,38,-10.85,25.5,2017-2018,46,462,236,18.2,51.082251082251084,35.59322033898305
맨시티,1,100,106,27,226.15,26.0,2017-2018,79,509,272,20.8,53.43811394891945,38.970588235294116
맨유,2,81,68,28,152.9,26.3,2017-2018,40,346,182,19.7,52.601156069364166,37.362637362637365
뉴캐슬,10,44,39,47,25.28,25.5,2017-2018,-8,319,151,12.2,47.33542319749217,25.82781456953642
사우스햄튼,17,36,37,56,-37.1,26.0,2017-2018,-19,325,147,11.4,45.230769230769226,25.170068027210885
스토크시티,19,33,35,68,22.56,27.5,2017-2018,-33,281,130,12.5,46.263345195729535,26.923076923076923
스완지,18,33,28,56,-7.72,27.0,2017-2018,-28,235,105,11.9,44.680851063829785,26.666666666666668
토트넘,3,77,74,36,17.2,25.8,2017-2018,38,429,222,17.2,51.74825174825175,33.33333333333333
왓포드,14,41,44,64,54.66,27.6,2017-2018,-20,316,138,13.9,43.67088607594937,31.88405797101449
웨스트 브로미치,20,31,31,56,51.45,28.7,2017-2018,-25,276,112,11.2,40.57971014492754,27.67857142857143
웨스트햄,13,42,48,68,-12.22,27.6,2017-2018,-20,278,140,17.3,50.35971223021583,34.285714285714285
본머스,14,45,56,70,71.4,26.2,2018-2019,-14,339,165,16.5,48.67256637168141,33.939393939393945
아스날,5,70,73,51,71.05,26.4,2018-2019,22,348,177,21.0,50.86206896551724,41.24293785310734
브라이튼,17,36,35,60,77.0,27.2,2018-2019,-25,284,116,12.3,40.845070422535215,30.17241379310345
번리,15,40,45,68,25.0,27.9,2018-2019,-23,271,118,16.6,43.542435424354245,38.13559322033898
카디프,18,34,34,69,51.2,27.3,2018-2019,-35,301,123,11.3,40.863787375415285,27.64227642276423
첼시,3,72,63,39,125.55,27.1,2018-2019,24,405,201,15.6,49.629629629629626,31.343283582089555
크리스탈 팰리스,12,49,51,53,11.5,27.2,2018-2019,-2,344,151,14.8,43.895348837209305,33.77483443708609
에버튼,8,54,54,46,71.15,25.5,2018-2019,8,346,169,15.6,48.84393063583815,31.952662721893493
풀럼,19,26,34,81,111.15,25.8,2018-2019,-47,333,147,10.2,44.14414414414414,23.12925170068027
허더스필드,20,16,22,76,38.37,25.9,2018-2019,-54,283,120,7.8,42.40282685512368,18.333333333333332
레스터시티,9,52,51,48,18.8,25.9,2018-2019,3,374,185,13.6,49.465240641711226,27.56756756756757
리버풀,2,97,89,22,140.88,26.2,2018-2019,67,431,230,20.6,53.36426914153132,38.69565217391304
맨시티,1,98,95,23,20.99,26.4,2018-2019,72,489,261,19.4,53.37423312883436,36.39846743295019
맨유,6,66,65,54,52.15,26.0,2018-2019,11,392,225,16.6,57.39795918367348,28.888888888888886
뉴캐슬,13,45,42,48,8.7,26.6,2018-2019,-6,320,147,13.1,45.9375,28.57142857142857
사우스햄튼,16,39,45,65,36.15,25.4,2018-2019,-20,342,156,13.2,45.614035087719294,28.846153846153843
토트넘,4,71,67,39,-5.35,26.6,2018-2019,28,394,198,17.0,50.25380710659898,33.83838383838384
왓포드,11,50,52,59,-21.74,27.9,2018-2019,-7,304,157,17.1,51.64473684210527,33.12101910828025
웨스트햄,10,52,52,55,87.14,27.7,2018-2019,-3,319,154,16.3,48.275862068965516,33.76623376623377
울버햄튼,7,57,47,46,89.45,25.4,2018-2019,1,355,157,13.2,44.225352112676056,29.936305732484076
